Date,Transaction Type,Vch No,Ref No,Reference Type,Reference Date,Debtor,Reference Amount,Amount,Particulars,Vch Type,Amount Verified
20200701,Child,SSI20210710,SSI20210710,New Ref,,Pedallers Point - Gachibowli,-63504.0,NA,Pedallers Point - Gachibowli,Receipt,NO
20200701,Parent,SSI20210710,NA,NA,,Pedallers Point - Gachibowli,NA,0,Pedallers Point - Gachibowli,Receipt,NO
20200701,Child,403,SSI19202483,Agst Ref,,Pedallers Point - Gachibowli,104612.56,NA,Pedallers Point - Gachibowli,Receipt,NO
20200701,Child,403,SSI19202500,Agst Ref,,Pedallers Point - Gachibowli,34267.44,NA,Pedallers Point - Gachibowli,Receipt,NO
20200701,Other,403,NA,NA,,Standard Chartered Bank,NA,-138880.00,Standard Chartered Bank,Receipt,NO
20200701,Other,403,NA,NA,,Pedallers Point - Gachibowli,NA,0,Pedallers Point - Gachibowli,Receipt,NO
20200701,Other,06.20,NA,NA,NA,ICICI Bank,NA,1150602.00,ICICI Bank,Receipt,NO
20200701,Other,06.20,NA,NA,NA,Salary Payable,NA,0,Salary Payable,Receipt,NO
20200701,Child,404,SSI19203207,Agst Ref,,Vaibhav Cycle Stores,0.01,NA,Vaibhav Cycle Stores,Receipt,NO
20200701,Child,404,SSI20210352,Agst Ref,,Vaibhav Cycle Stores,38999.99,NA,Vaibhav Cycle Stores,Receipt,NO
20200701,Other,404,NA,NA,,Standard Chartered Bank,NA,-39000.00,Standard Chartered Bank,Receipt,NO
20200701,Other,404,NA,NA,,Vaibhav Cycle Stores,NA,0,Vaibhav Cycle Stores,Receipt,NO
20200701,Child,405,SSI20210181,Agst Ref,,Durga Cycles,96880.0,NA,Durga Cycles,Receipt,NO
20200701,Other,405,NA,NA,,Standard Chartered Bank,NA,-96880.00,Standard Chartered Bank,Receipt,NO
20200701,Other,405,NA,NA,,Durga Cycles,NA,0,Durga Cycles,Receipt,NO
20200701,Child,406,SSI19200832,Agst Ref,,Verdant Outdoor Sports World Pvt Ltd,25000.0,NA,Verdant Outdoor Sports World Pvt Ltd,Receipt,NO
20200701,Other,406,NA,NA,,Standard Chartered Bank,NA,-25000.00,Standard Chartered Bank,Receipt,NO
20200701,Other,406,NA,NA,,Verdant Outdoor Sports World Pvt Ltd,NA,0,Verdant Outdoor Sports World Pvt Ltd,Receipt,NO
20200701,Child,407,SSI20210172,Agst Ref,,Freewheelers Bike Zone,50469.0,NA,Freewheelers Bike Zone,Receipt,NO
20200701,Child,407,SSI20210173,Agst Ref,,Freewheelers Bike Zone,19531.0,NA,Freewheelers Bike Zone,Receipt,NO
20200701,Other,407,NA,NA,,Standard Chartered Bank,NA,-70000.00,Standard Chartered Bank,Receipt,NO
20200701,Other,407,NA,NA,,Freewheelers Bike Zone,NA,0,Freewheelers Bike Zone,Receipt,NO
20200701,Child,408,SSI19201311,Agst Ref,,BIKESHARK -THE URBAN CYCLE STORE,3216.72,NA,BIKESHARK -THE URBAN CYCLE STORE,Receipt,NO
20200701,Child,408,SSI19201312,Agst Ref,,BIKESHARK -THE URBAN CYCLE STORE,4077.0,NA,BIKESHARK -THE URBAN CYCLE STORE,Receipt,NO
20200701,Child,408,SSI19201409,Agst Ref,,BIKESHARK -THE URBAN CYCLE STORE,13722.0,NA,BIKESHARK -THE URBAN CYCLE STORE,Receipt,NO
20200701,Child,408,SSI19201467,Agst Ref,,BIKESHARK -THE URBAN CYCLE STORE,37336.0,NA,BIKESHARK -THE URBAN CYCLE STORE,Receipt,NO
20200701,Child,408,SSI19201496,Agst Ref,,BIKESHARK -THE URBAN CYCLE STORE,41648.28,NA,BIKESHARK -THE URBAN CYCLE STORE,Receipt,NO
20200701,Other,408,NA,NA,,Standard Chartered Bank,NA,-100000.00,Standard Chartered Bank,Receipt,NO
20200701,Other,408,NA,NA,,BIKESHARK -THE URBAN CYCLE STORE,NA,0,BIKESHARK -THE URBAN CYCLE STORE,Receipt,NO
20200701,Child,168,GO/20/06/2939,New Ref,,GREYTIP SOFTWARE PVT.LTD.,2822.0,NA,GREYTIP SOFTWARE PVT.LTD.,Receipt,NO
20200701,Parent,168,NA,NA,,GREYTIP SOFTWARE PVT.LTD.,NA,0,GREYTIP SOFTWARE PVT.LTD.,Receipt,NO
20200701,Child,169,518000060598,New Ref,,Reliance Jio Infocomm Ltd,6409.49,NA,Reliance Jio Infocomm Ltd,Receipt,NO
20200701,Parent,169,NA,NA,,Reliance Jio Infocomm Ltd,NA,6409.49,Reliance Jio Infocomm Ltd,Receipt,YES
20200701,Child,ESSI2021055,ESSI2021055,New Ref,,E-Team Driven Motosports LLP,-10967.0,NA,E-Team Driven Motosports LLP,Receipt,NO
20200701,Parent,ESSI2021055,NA,NA,,E-Team Driven Motosports LLP,NA,0,E-Team Driven Motosports LLP,Receipt,NO
